name,stn,scene_date,lat,lon,B2,B3,B4,B5,B6,B7,B8,B11,B12,NDWI,MNDWI,NDCI,NDTI,Red_Green,RedEdge_Ratio
Devasandra Lake,DVS,2023-08-16,13.022,77.6553,,,,,,,,,,,,,,,
Hebbal Lake,HBL,2023-08-16,13.0455,77.5961,0.241169885773624,0.2550920042850518,0.2610193148162505,0.2945725337487018,0.3470882658359294,0.3762779854620976,0.3642297507788161,0.3236768431983385,0.2471845275181723,-0.1769235554181187,-0.1196807856208419,0.0608907519451915,0.0122801018974808,1.0254379270983098,1.1312801210053396
Jakkur Lake,JKR,2023-08-16,13.0648,77.6004,,,,,,,,,,,,,,,
Nagavara Lake,NGV,2023-08-16,13.0318,77.613,,,,,,,,,,,,,,,
Chelekere Lake,CLK,2023-08-16,13.0396,77.6109,0.1516431301471105,0.1674926237602337,0.172714193545147,0.2073382945027097,0.2776286302526921,0.3174538079819807,0.311684370380798,0.3244528577461815,0.2919914584359821,-0.3006552903103454,-0.3316109729662376,0.1110635445661708,0.0097712334398257,1.0249835887706538,1.2964593207325157
Ulsoor Lake,ULS,2023-08-16,12.9817,77.6254,0.1986764478764479,0.2028146677841091,0.2008289576842518,0.2365,0.2994,0.334,0.3116374517374517,0.2933,0.2305,-0.2115398187683533,-0.1824475793554411,0.0815988620375767,-0.0048781606086435,0.9903144189373916,1.1777973817408018
Bellandur Lake,BLR,2023-08-16,12.9265,77.6434,0.0433279876638396,0.0615392458943238,0.0507942939416987,0.1013675404780262,0.1989521202775636,0.2324335389360061,0.2292796453353893,0.1853776407093292,0.1120546646106399,-0.5762135888280593,-0.5012404880590806,0.3325880814252833,-0.0958335576024329,0.8261965513654762,1.9996684825363409
Varthur Lake,VTR,2023-08-16,12.9389,77.7219,0.0919206307860185,0.1160044884409159,0.1136306172189658,0.1556201872645993,0.2484570347425111,0.2914059452990247,0.2897906543700939,0.2495374212397479,0.1865530395297265,-0.4446317849727955,-0.384002081399739,0.1889118570352213,-0.0293162114137483,0.9523216245924054,1.5148190736074532
Madiwala Lake,MDW,2023-08-16,12.9154,77.6116,0.1344170263704537,0.1969371927475246,0.2759437123616849,0.3135857268598383,0.3620366827447802,0.3875570643946061,0.3750947505545187,0.4358548815265989,0.3849486603527799,-0.3173239681409211,-0.3753657582921659,0.0807135180346514,0.1460128024951709,1.3615762679472798,1.2033971923173403
Kaikondanahalli Lake,KKH,2023-08-16,12.929,77.6958,0.146467023298374,0.1769598186867758,0.1752097309870744,0.2061992010980503,0.2654180052086999,0.2938085697191526,0.2923978707679313,0.2788717533610192,0.2386783522207363,-0.3074865101890363,-0.2813403959825776,0.1367135404227948,-0.0202658122481985,0.9665997097052724,1.393608315296523
Puttenahalli Lake,PTN,2023-08-16,12.8982,77.5855,0.1801053908355795,0.189402427654864,0.2092969016827181,0.2688929919137466,0.2848765498652291,0.3086528301886793,0.2745424528301887,0.3172101078167116,0.3100137466307277,-0.1850585220413289,-0.2527527686763046,0.1241177698832466,0.0493659067195803,1.104666273749352,1.2881429062746104
Allalasandra Lake,ALS,2023-08-16,13.0541,77.6052,0.147006116918312,0.1691459121575045,0.1800861973120775,0.2099023123218244,0.2615777461021363,0.2910169746242916,0.2792736212297187,0.264023471650301,0.2220256361524655,-0.2527149432794512,-0.2307669370271399,0.0897513442502538,0.0297505344108635,1.0644684645328704,1.2398363876283225
Kundalahalli Lake,KND,2023-08-16,12.9766,77.7004,0.1209968182458116,0.1514624245404487,0.1708422283372286,0.2085544382655215,0.2855400640574404,0.3120590806701391,0.3013681015064055,0.2701195410389977,0.2168940236519779,-0.3447781236767169,-0.2989335055990561,0.1226707297140793,0.0557816780267734,1.1291018294094652,1.335334719567729
Haralur Lake,HRL,2023-08-16,12.9059,77.6887,0.0617883112769252,0.0818790091698858,0.0715391420940595,0.1179028157116711,0.24046403984232,0.2852784351682386,0.2855562931155849,0.1830214029283402,0.1122285689145431,-0.5520156456650299,-0.368386768250574,0.2546207972271864,-0.0791784116337672,0.8588425928294823,1.7092884189610804
Agaram Lake,AGR,2023-08-16,12.9234,77.6416,0.1310026594175412,0.1547242172245152,0.1605162644734405,0.189880549584861,0.2350968053272643,0.2593898048636575,0.2532440637248704,0.2281483246933871,0.1914026594175412,-0.2674451781804896,-0.2281288065951828,0.127412234375377,-0.003124492299146,1.0033865698766673,1.3465991209983943
Somasundrapalya Lake,SMP,2023-08-16,12.922,77.636,0.1598952029000808,0.1792195719790253,0.1894103900349131,0.2099893710625416,0.2348968605919826,0.256065156794425,0.2475163235138844,0.2623815155034666,0.2396459578362016,-0.1609335953729815,-0.1967089079467402,0.0609900023087681,0.0270029879450458,1.0593654382509292,1.1512843140519509
Sarakki Lake,SRK,2023-08-16,12.9201,77.572,,,,,,,,,,,,,,,
Gottigere Lake,GTG,2023-08-16,12.8793,77.6017,0.1772081543766256,0.1959038778997996,0.2133908476372911,0.2405108825842357,0.2526681688948038,0.2717027645030549,0.2654387453874539,0.3275980158490109,0.3074419877805333,-0.1529996071131287,-0.2553409298424737,0.0658492062060744,0.0386113610640101,1.0827237394041986,1.1531200170175435
Arakere Lake,ARK,2023-08-16,12.8944,77.5989,0.2016379446640316,0.2111984133838193,0.2156877432298283,0.2298,0.2507,0.2744,0.2442679841897233,0.3151,0.2964,-0.0726534227869504,-0.1975582610955012,0.0324909353403676,0.0098515173454612,1.020403239588064,1.0690457045605906
Hulimavu Lake,HLM,2023-08-16,12.8917,77.606,,,,,,,,,,,,,,,
Begur Tank,BGR,2023-08-16,12.874,77.622,,,,,,,,,,,,,,,
Singasandra Lake,SGS,2023-08-16,12.8985,77.6171,0.1469026219469275,0.166718269120334,0.1742375767801252,0.2055158759766311,0.2563748539452382,0.2869178010839726,0.2800304110649678,0.2729233300485674,0.2381634651932145,-0.2641070736233014,-0.2551034829510569,0.0976564899949385,0.0188095544778013,1.0418430794167726,1.247714443982114
Ibbalur Lake,IBL,2023-08-16,12.9056,77.6449,,,,,,,,,,,,,,,
Hoskere Lake,HSK,2023-08-16,12.901,77.6227,,,,,,,,,,,,,,,
Hosakerehalli Lake,HKH,2023-08-16,12.9421,77.5406,,,,,,,,,,,,,,,
Kodi Singasandra Lake,KSG,2023-08-16,12.8999,77.626,,,,,,,,,,,,,,,
Yelahanka Tank,YLH,2023-08-16,13.1012,77.5966,0.1568728241563055,0.1784632338300267,0.2073193608814615,0.2455165186500887,0.2789433392539964,0.3097761101243339,0.2354595914742451,0.3004722912966252,0.2780523090586145,-0.1423704883294151,-0.2618596563220535,0.0899601913119883,0.0787488789621456,1.1727578251945006,1.2139314175313185
Hesaraghatta Lake,HSG,2023-08-16,13.1299,77.4614,0.0741471872139688,0.1109443747728385,0.1197371263858811,0.1750597127367457,0.296149781736253,0.3383710307681476,0.3341672252341057,0.324140220375977,0.2211084137154121,-0.498708459841551,-0.4910484565519687,0.1973616468818333,0.031009999110256,1.081229063193751,1.5215277420341249
Nelamangala Lake,NLM,2023-08-16,13.097,77.3925,0.1536298179513363,0.1818947537149129,0.196423736426121,0.2281961231029263,0.2856373569491884,0.3193855910419381,0.315030969400331,0.3260103454346984,0.2826809570759533,-0.2785987181013345,-0.2998251660640424,0.0973960837696603,0.030592229840381,1.0693135424519018,1.2748794335299714
Rampura Lake,RPR,2023-08-16,13.015,77.59,0.0473835157872505,0.064436794714038,0.0514897181786534,0.1000420606145939,0.2680418423738954,0.3323884367629975,0.3325444859023549,0.1971697525432081,0.1103399626878806,-0.6731729385783594,-0.5058173326499882,0.325363778279563,-0.117080162953761,0.794953120134842,1.9862777718627616
Kalena Agrahara Lake,KLA,2023-08-16,12.9128,77.6271,,,,,,,,,,,,,,,
Basavanapura Lake,BSV,2023-08-16,12.9985,77.6808,,,,,,,,,,,,,,,
