"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Temperature °C,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/ cm),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/100ml)","Total Coliform (MPN/100ml)","Fecal Streptoco cci (MPN/
100ml)","Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity NTU,Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca (mg/L),Mg as CaCo3 (mg/L),Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Cadmium (mg/L),Copper (mg/L),Lead (mg/L),Chromium Total (mg/L),Nickel (mg/L),Zinc (mg/L),Iron (mg/L),Manganese (mg/L),Year
3599,Apr,Anchepalya Lake,"E (Irrigation, industrial cooling and controlled waste)",28,0.3(BDL),6.5,456,32,1.5,0.02(BDL),4600,35000,-,3(BDL),80,192.5,5(BDL),80,80,202,4.5,3.4,80,44,18,36,9,55,51,306,10(BDL),0.3,0.5(BDL),10,0.28,54,2.7,0.7,0.00042(BDL),0.004,0.00031(BDL),0.00056(BDL),0.005,0.023,1,0.142,2025
3600,Apr,Shivapura Tank,"E (Irrigation, industrial cooling and controlled waste)",28,2.8,6.7,1184,19,4.55,0.02(BDL),1400,9400,-,3(BDL),140,121,5(BDL),140,152,156,2.1,1.4,160,94,38,66,16,51,132,790,10(BDL),0.2(BDL),0.5(BDL),23,0.3,60,4.55,0.05(BDL),0.00042(BDL),0.025,0.012,0.043,0.073,0.05,1.563,0.361,2025
3602,Apr,Bellandur Lake,"E (Irrigation, industrial cooling and controlled waste)",30,2.9,7.8,998,9,3.83,0.15,170,2200,-,3(BDL),128,11.3,5(BDL),128,164,87,1.5(BDL),0.4,132,76,30,56,14,76,94,684,10(BDL),0.2(BDL),0.5(BDL),22,0.35,56,3.55,0.48,0.00042(BDL),0.006,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.008,0.245,0.027,2025
3603,Apr,Vengaiyyanakere( Kr Puram Lake ),"E (Irrigation, industrial cooling and controlled waste)",26,0.3(BDL),7,1282,120,4.5,0.7,14000,46000,-,3(BDL),476,26,5(BDL),476,176,415,41.6,32,256,132,53,124,30,29,110,804,10(BDL),1.3,0.5(BDL),32,0.31,45,2.9,3.1,0.00042(BDL),0.032,0.024,0.00056(BDL),0.00054(BDL),0.105,3.967,0.203,2025
3604,Apr,Doddanekkundi Lake,"D (Propagation of wild life,fisheries)",26,5,7,801,6,3.07,0.02(BDL),220,2400,-,3(BDL),216,1(BDL),5(BDL),216,92,42,1.5(BDL),0.63,192,114,46,78,19,6,63,534,10(BDL),0.2(BDL),0.5(BDL),23,0.4,38,1.96,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.65,0.361,2025
3605,Apr,Yelemallappa Shetty Lake,"E (Irrigation, industrial cooling and controlled waste)",25,0.3(BDL),8.5,952,39,3.9,0.77,14000,48000,-,24,332,18.2,12,144,160,296,28,22,236,124,50,112,27,11,80,646,10(BDL),0.32,0.5(BDL),24,0.31,39,2.26,0.93,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.602,0.159,2025
3606,Apr,Dasarahalli Tank,"E (Irrigation, industrial cooling and controlled waste)",28,2,6.6,769,13,2.9,0.02(BDL),1700,9400,-,3(BDL),156,6,5(BDL),156,92,123,20.8,16,216,112,45,104,25,39,67,522,10(BDL),0.2(BDL),0.5(BDL),19,0.23,38,2,2,0.00042(BDL),0.117,0.00031(BDL),0.00056(BDL),0.024,0.2,0.406,0.154,2025
3608,Apr,Varthur Lake,"E (Irrigation, industrial cooling and controlled waste)",26,0.3(BDL),6.6,905,63,3.47,0.02(BDL),11000,70000,-,3(BDL),180,122,5(BDL),180,160,254,3.12,2.4,220,128,51,92,22,31,74,606,10(BDL),0.68,0.5(BDL),24,0.48,39,2.17,1.75,0.00042(BDL),0.011,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),2.844,0.119,2025
3609,Apr,Ibbalur Lake,"E (Irrigation, industrial cooling and controlled waste)",29,2.8,7,801,10,3.07,0.71,230,2100,-,3(BDL),112,13.8,5(BDL),112,16,100,1.5(BDL),0.4,108,60,24,48,12,9,84,552,10(BDL),0.2(BDL),0.5(BDL),14,0.24,59,3.51,0.48,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.07,0.083,2025
3610,Apr,Tubarahalli Tank,"D (Propagation of wild life,fisheries)",25,6.1,8.5,678,5,2.8,0.02(BDL),230,3500,-,48,72,6.2,24,96,124,48,1.5(BDL),0.4,136,72,29,64,16,10,58,458,10(BDL),0.2(BDL),0.5(BDL),15,0.3,44,2.17,0.4,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.121,0.023,2025
3611,Apr,Kaikondanahalli Lake,"D (Propagation of wild life,fisheries)",29,5.8,8.2,1200,7,3.23,0.02(BDL),1100,7900,-,3(BDL,324,4.4,5(BDL),324,232,72,1.5(BDL),0.58,476,264,106,212,52,53,98,828,10(BDL),0.76,0.5(BDL),39,0.28,28,2,1.5,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.107,0.016,2025
