STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
3606.0,Dasarahalli Tank,E,3.0,6.7,377.0,19.0,1.06,400.0,2200.0,32.6,108.0,17.0,108.0,80.0,128.0,12.649999999999999,0.82,144.0,76.0,68.0,8.0,28.0,256.0,38.0,0.35,0.5,3.0,0.23,29.0,1.0,0.84,2025.0
3607.0,Kalkere Tank,E,3.1,7.2,1059.0,14.0,3.7,2600.0,9400.0,34.08,204.0,17.6,204.0,152.0,112.0,23.0,18.0,252.0,132.0,120.0,28.0,93.0,698.0,31.333333333333332,1.4,0.5,18.0,0.325,42.0,2.5,4.0,2025.0
3608.0,Varthur Lake,E,4.65,6.8,904.0,62.0,3.5,260.0,1500.0,35.56,356.0,18.2,356.0,120.0,232.0,35.0,27.0,232.0,120.0,112.0,7.0,104.0,624.0,24.666666666666664,0.63,0.5,12.0,0.42,48.0,3.0,1.5,2025.0
3609.0,Ibbalur Lake,D,6.2,7.9,734.0,4.0,2.8,260.0,3500.0,37.04,236.0,18.799999999999997,236.0,116.0,52.0,32.821333333333335,0.4,184.0,92.0,88.0,10.0,84.0,506.0,18.0,1.0,0.5,9.0,0.35,49.0,2.7,2.3,2025.0
3610.0,Tubarahalli Tank,D,5.3,7.4,657.0,7.0,2.5,31.0,1600.0,38.519999999999996,244.0,19.4,244.0,80.0,80.0,30.642666666666667,0.4,192.0,100.0,92.0,14.5,75.0,450.0,119.0,0.35,0.5,9.0,0.35,45.0,2.3,0.8,2025.0
3611.0,Kaikondanahalli Lake,D,5.7,8.5,826.0,7.0,3.2,310.0,2100.0,40.0,140.0,20.0,160.0,188.0,80.0,28.464,0.4,144.0,72.0,72.0,19.0,91.0,570.0,220.0,0.42,0.5,10.0,0.31,55.0,3.3,1.0,2025.0
3612.0,Agaram Lake,D,6.2,7.9,736.0,4.0,2.8,110.0,2400.0,39.2,232.0,19.6,232.0,120.0,48.0,26.285333333333334,0.4,180.0,92.0,88.0,10.0,84.0,506.0,18.0,1.0,0.5,9.0,0.34,49.0,2.7,2.3,2025.0
3613.0,Gottigere Lake,D,6.2,7.2,432.0,5.0,1.3,320.0,2200.0,38.4,104.0,19.2,104.0,40.0,48.0,24.10666666666667,0.4,96.0,52.0,44.0,9.5,23.0,290.0,16.0,0.892,0.5,6.0,0.35000000000000003,34.0,1.03,1.3199999999999998,2025.0
3614.0,Puttenahalli Lake,D,4.1,7.0,478.0,7.0,1.9,310.0,3500.0,37.6,108.0,18.8,108.0,68.0,72.0,21.928,0.89,136.0,72.0,64.0,9.0,38.0,324.0,14.0,0.784,0.5,3.0,0.36,37.0,1.42,0.34,2025.0
3615.0,Arakere Lake,D,4.8,7.2,481.0,6.0,1.8,260.0,1700.0,36.8,108.0,18.4,108.0,76.0,68.0,19.749333333333333,0.58,128.0,68.0,60.0,20.0,47.0,326.0,16.666666666666668,0.6759999999999999,0.5,10.0,0.37,42.0,1.81,0.5866666666666667,2025.0
