"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Temperature,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),BOD (mg/L),NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/
100ml)","Total Coliform (MPN/
100ml)","Fecal Streptococci (MPN/
100ml)","Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Saprobity Index,Diversity Index,Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonic al-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca (mg/L),Mg as CaCo3 (mg/L),Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
3602,Dec-24,Bellandur Lake,"D (Propagation of wild life,fisheries)",25.0,5.7,6.7,435,4,1.7,0.02(BDL),1700,12000,-,3(BDL),96,-,-,5.8,5(BDL),96,68,41,1.5(BDL),0.4,116,60,24.0,56,13.61,18,35,298,10(BDL),0.2(BDL),0.5(BDL),8,0.26,37,1.42,0.05(BDL),2024
3603,Dec-24,Vengaiyyanakere( Kr Puram Lake ),"E (Irrigation, industrial cooling and controlled waste)",26.0,3,7.2,1235,22,4.3,0.02(BDL),250,4300,-,3(BDL),256,-,-,4.2,5(BDL),256,152,168,4.4,3.4,260,136,54.4,124,30.14,30,100,806,10(BDL),2.8,0.5(BDL),28,0.36,42,2.7,7.5,2024
3604,Dec-24,Doddanekkundi Lake,"D (Propagation of wild life,fisheries)",26.0,6.6,7.2,595,4,2.3,0.02(BDL),140,2200,-,3(BDL),152,-,-,11.2,5(BDL),152,64,40,1.5(BDL),0.4,140,76,30.4,64,15.56,5(BDL),58,404,14,0.2(BDL),0.5(BDL),4,0.29,46,2.1,0.19,2024
3605,Dec-24,Yelemallappa Shetty Lake,"D (Propagation of wild life,fisheries)",25.0,4,6.8,605,7,2.0,0.1,46,920,-,3(BDL),212,-,-,10.0,5(BDL),212,96,71,1.5(BDL),0.4,168,88,35.2,80,19.45,24,68,410,18,0.36,0.5(BDL),8,0.2(BDL),45,2.3,0.86,2024
3606,Dec-24,Dasarahalli Tank,"D (Propagation of wild life,fisheries)",24.0,5.8,6.5,248,9,1.1,0.7,820,4700,-,3(BDL),84,-,-,23.0,5(BDL),84,24,80,1.5(BDL),0.9,88,48,19.2,40,9.72,8,17,168,26,0.2(BDL),0.5(BDL),5,0.2(BDL),28,0.7,0.5,2024
3607,Dec-24,Kalkere Tank,"E (Irrigation, industrial cooling and controlled waste)",24.0,3.2,7.5,1297,11,4.9,0.7,170,3500,-,3(BDL),288,-,-,33.6,5(BDL),288,184,101,11.9,9.2,256,136,54.4,120,29.17,25,169,880,44,1.6,0.5(BDL),26,0.2(BDL),59,4.6,3.7,2024
3608,Dec-24,Varthur Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,2.4,7.4,1454,28,5.0,0.14,930,2200,-,3(BDL),184,-,-,76.4,5(BDL),184,324,192,3.1,2.3,332,172,68.8,160,38.9,31,158,958,92,2.9,0.5(BDL),29,0.2(BDL),48,3.7,8,2024
3609,Dec-24,Ibbalur Lake,"D (Propagation of wild life,fisheries)",25.0,5.2,6.8,446,4,1.7,0.02(BDL),330,4300,-,3(BDL),104,-,-,5.2,5(BDL),104,72,44,1.5(BDL),0.4,120,80,32.0,40,9.72,18,36,304,10(BDL),0.2(BDL),0.5(BDL),9,0.2(BDL),37,1.43,0.05(BDL),2024
3610,Dec-24,Tubarahalli Tank,"D (Propagation of wild life,fisheries)",25.0,5.9,6.7,904,7,3.75,0.53,330,3500,-,3(BDL),140,-,-,1.6,5(BDL),140,136,76,1.5(BDL),0.4,180,96,38.4,84,20.42,21,89,618,10(BDL),1.45,0.5(BDL),12,0.29,50,2.88,3.42,2024
3611,Dec-24,Kaikondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,3,8.4,583,25,2.2,0.02(BDL),1700,7900,-,24,148,-,-,43.3,12,160,96,164,4.6,4.1,140,72,28.8,68,16.53,24,47,400,48,0.29,0.5(BDL),12,0.33,39,2.0,0.81,2024
3612,Dec-24,Agaram Lake,"D (Propagation of wild life,fisheries)",25.0,7.3,7.7,416,4,1.6,0.02(BDL),260,2800,-,3(BDL),92,-,-,2.8,5(BDL),92,64,40,1.5(BDL),0.4,108,56,22.4,52,12.64,17,33,280,10(BDL),0.2(BDL),0.5(BDL),8,0.2(BDL),38,1.38,0.05(BDL),2024
3613,Dec-24,Gottigere Lake,"D (Propagation of wild life,fisheries)",26.0,4.5,7.0,894,5,3.4,0.27,430,2200,-,3(BDL),204,-,-,4.6,5(BDL),204,148,56,1.5(BDL),0.4,244,128,51.2,116,28.2,36,88,606,10(BDL),0.24,0.5(BDL),18,0.26,43,2.45,0.7,2024
3614,Dec-24,Puttenahalli Lake,"D (Propagation of wild life,fisheries)",26.0,5.8,8.0,685,4,2.6,0.02(BDL),32,920,-,3(BDL),156,-,-,5.4,5(BDL),156,112,52,1.5(BDL),0.4,184,96,38.4,88,21.39,28,67,462,10(BDL),0.2(BDL),0.5(BDL),14,0.32,42,2.15,0.49,2024
3615,Dec-24,Arakere Lake,"D (Propagation of wild life,fisheries)",26.0,6.3,7.5,598,6,3.4,0.02(BDL),310,3500,-,3(BDL),140,-,-,8.0,5(BDL),140,108,63,1.5(BDL),0.4,160,84,33.6,76,18.48,20,58,408,14,0.2(BDL),0.5(BDL),8,0.2(BDL),42,2.0,0.05(BDL),2024
3616,Dec-24,Kalena Agrahara Lake,"D (Propagation of wild life,fisheries)",26.0,6.5,7.7,525,4,3.5,0.02(BDL),310,2100,-,3(BDL),132,-,-,4.0,5(BDL),132,128,41,1.5(BDL),0.4,136,76,30.4,60,14.59,5(BDL),58,356,10(BDL),0.2(BDL),0.5(BDL),6,0.2(BDL),45,2.1,0.05(BDL),2024
