STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
3606.0,Dasarahalli Tank,E,2.3,7.0,406.0,21.0,1.5,754.0579710144929,2800.0,34.140845070422536,116.0,20.0,116.0,64.0,132.0,19.0,15.0,116.0,60.0,56.0,10.0,43.0,280.0,48.0,0.43,0.5,5.0,0.22,43.0,1.7,1.0,2025.0
3607.0,Kalkere Tank,D,4.4,8.2,827.0,8.0,3.4,786.376811594203,11000.0,33.690140845070424,236.0,20.0,236.0,116.0,96.0,17.25,0.58,216.0,116.0,100.0,12.0,85.0,544.0,18.0,3.0,0.5,12.0,0.31,45.0,2.5,8.5,2025.0
3608.0,Varthur Lake,D,5.8,7.3,681.0,4.0,2.6,818.6956521739131,4300.0,33.23943661971831,156.0,20.0,156.0,112.0,44.0,15.5,0.51,180.0,96.0,84.0,28.0,66.0,462.0,17.0,2.3333333333333335,0.5,14.0,0.36,42.0,2.13,0.25,2025.0
3609.0,Ibbalur Lake,D,6.0,7.4,586.0,4.0,2.1,851.0144927536232,9400.0,32.7887323943662,156.0,20.0,156.0,124.0,48.0,13.75,0.67,96.0,52.0,44.0,14.0,84.0,408.0,16.0,1.6666666666666667,0.5,12.0,0.41000000000000003,62.0,4.0,0.46,2025.0
3610.0,Tubarahalli Tank,E,1.9,7.1,1017.0,28.0,3.9,883.3333333333334,5400.0,32.33802816901408,356.0,20.0,356.0,160.0,180.0,12.0,9.1,248.0,128.0,120.0,19.0,112.0,702.0,24.0,1.0,0.5,12.0,0.46,48.0,3.1,2.3,2025.0
3611.0,Kaikondanahalli Lake,D,4.8,8.1,938.0,8.0,3.78,915.6521739130435,1700.0,31.887323943661972,204.0,20.0,204.0,148.0,80.0,11.60909090909091,0.72,228.0,120.0,108.0,27.0,82.0,644.0,16.0,0.54,0.5,8.0,0.52,43.0,2.37,1.57,2025.0
3612.0,Agaram Lake,D,6.2,7.9,893.0,4.0,3.0,947.9710144927537,5400.0,31.436619718309856,268.0,20.0,268.0,136.0,56.0,11.218181818181819,0.61,208.0,108.0,100.0,33.0,91.0,612.0,18.0,1.1,0.5,29.0,0.32,45.0,2.7,2.8,2025.0
3613.0,Gottigere Lake,D,6.0,6.7,356.0,4.0,1.43,980.2898550724639,2800.0,30.985915492957744,116.0,20.0,116.0,48.0,44.0,10.827272727272728,0.4,116.0,64.0,52.0,23.0,25.0,240.0,12.0,0.665,0.5,15.5,0.28,31.0,1.0,1.74,2025.0
3614.0,Puttenahalli Lake,D,5.0,6.9,373.0,5.0,1.5,1012.608695652174,9200.0,30.535211267605632,124.0,20.0,124.0,36.0,48.0,10.436363636363637,0.4,108.0,60.0,48.0,13.0,28.0,254.0,13.0,0.23,0.5,2.0,0.31,35.0,1.17,0.68,2025.0
3615.0,Arakere Lake,D,5.8,6.8,326.0,5.0,1.3,1044.927536231884,9400.0,30.08450704225352,56.0,20.0,56.0,48.0,56.0,10.045454545454545,0.48,88.0,48.0,40.0,13.0,30.0,220.0,14.0,0.37,0.5,6.0,0.31,40.0,1.38,0.485,2025.0
3616.0,Kalena Agrahara Lake,D,6.1,6.9,372.0,4.0,1.49,1077.2463768115942,2400.0,29.633802816901408,112.0,20.0,112.0,40.0,40.0,9.654545454545454,0.4,96.0,52.0,44.0,10.0,28.0,252.0,15.0,0.51,0.5,10.0,0.31,38.0,1.24,0.29,2025.0
3617.0,Hulimavu Lake,D,5.2,7.6,712.0,6.0,2.8,1109.5652173913045,2800.0,29.183098591549296,164.0,20.0,164.0,116.0,64.0,9.263636363636364,0.71,192.0,100.0,92.0,29.0,70.0,484.0,16.0,0.65,0.5,14.0,0.26,42.0,2.19,0.23,2025.0
3618.0,Singasandra Lake,D,4.6,8.0,852.0,8.0,3.43,1141.8840579710145,4300.0,28.732394366197184,176.0,20.0,176.0,144.0,84.0,8.872727272727273,0.72,180.0,96.0,84.0,26.0,73.0,586.0,22.0,0.79,0.5,6.0,0.41,46.0,2.36,2.19,2025.0
3619.0,Begur Tank,D,5.7,7.1,329.0,6.0,1.2,1174.2028985507247,3500.0,28.281690140845072,64.0,20.0,64.0,52.0,60.0,8.481818181818182,0.4,92.0,52.0,40.0,12.0,32.0,224.0,28.0,0.9766666666666667,0.5,7.0,0.4333333333333333,40.0,1.45,1.205,2025.0
3620.0,Parappana Agrahara Lake,D,6.9,7.9,675.0,4.0,2.6,1206.521739130435,9200.0,27.83098591549296,152.0,20.0,152.0,108.0,48.0,8.090909090909092,0.4,180.0,92.0,88.0,28.0,67.0,462.0,34.0,1.1633333333333333,0.5,14.0,0.45666666666666667,42.0,2.17,0.22,2025.0
3621.0,Haralur Lake,E,2.6,7.3,918.0,26.0,3.7,1238.840579710145,110000.0,27.380281690140844,208.0,20.0,208.0,120.0,188.0,7.7,6.2,212.0,112.0,100.0,36.0,78.0,632.0,40.0,1.35,0.5,6.0,0.48,44.0,2.33,3.9,2025.0
3622.0,Somasundrapalya Lake,D,6.5,8.0,675.0,5.0,2.6,1271.1594202898552,3500.0,26.929577464788732,156.0,20.0,156.0,108.0,56.0,5.15,0.4,180.0,92.0,88.0,27.0,66.0,460.0,12.0,1.425,0.5,13.0,0.55,42.0,2.14,0.19,2025.0
3623.0,Anekal Doddakere Tank,E,1.5,6.8,1497.0,28.0,6.04,1303.4782608695652,13000.0,26.47887323943662,268.0,20.0,268.0,312.0,196.0,2.6,2.1,396.0,204.0,192.0,18.0,138.0,1012.0,30.0,1.5,0.5,11.0,0.62,42.0,3.03,0.41,2025.0
3624.0,Puttenahalli Lake,D,5.3,6.6,901.0,7.0,3.5,1335.7971014492755,4300.0,26.028169014084504,332.0,20.0,332.0,132.0,88.0,7.300000000000001,0.53,256.0,132.0,124.0,8.0,99.0,622.0,22.0,1.5750000000000002,0.5,11.0,0.42,44.0,2.7,0.3,2025.0
3625.0,Hebbal Lake,E,2.9,6.8,480.0,19.0,1.9,1368.1159420289857,12000.0,25.577464788732392,180.0,20.0,180.0,68.0,128.0,12.0,8.9,128.0,64.0,64.0,7.0,50.0,330.0,18.0,1.6500000000000001,0.5,6.0,0.24,44.0,1.9,0.19,2025.0
3626.0,Nagavara Lake,D,5.5,7.0,445.0,5.0,1.71,1400.4347826086957,9400.0,25.12676056338028,96.0,20.0,96.0,44.0,48.0,14.0,0.4,132.0,80.0,52.0,13.0,45.0,302.0,34.0,1.725,0.5,5.0,0.35,41.0,1.7,0.46,2025.0
3627.0,Jakkur Lake,E,1.8,7.0,998.0,25.0,3.8,1432.753623188406,17000.0,24.676056338028168,332.0,20.0,332.0,168.0,168.0,16.0,12.0,232.0,120.0,112.0,19.0,110.0,686.0,66.0,1.8,0.5,12.0,0.53,49.0,3.1,4.2,2025.0
