STN_CODE,NAMEOFMONITORINGLOCATION,USEBASEDCLASS,DO,PH,CONDUCTIVITY,BOD,NITRATE_N,FECAL_COLI,TOTAL_COLI,CARBONATE,BICARBONATE,PHENOLPHTHALEINALKALINITY,TOTALALKALINITY,CHLORIDES,COD,TOTALKJELDAHLNITROGEN,AMMONICALN,TOTALHARDNESS,CAASCACO3,MGASCACO3,SULPHATE,SODIUM,TOTALDISSOLVEDSOLIDS,TOTALSUSPENDEDSOLIDS,PHOSPHATE,BORON,POTASSIUM,FLUORIDE,SODIUMPERCENTAGE,SAR,ORTHOPHOSPHATE,YEAR
4531.0,Rayasandra Lake,E,2.0,7.0,1382.0,29.0,5.3,210.0,2200.0,32.275862068965516,368.0,16.137931034482758,368.0,268.0,172.0,22.0,17.0,336.0,172.0,164.0,30.0,155.0,940.0,34.0,1.6,0.5,16.0,0.74,48.0,3.7,3.8,2025.0
4532.0,Chandapura Lake,D,5.0,7.8,1400.0,9.0,5.4,320.0,4300.0,33.10344827586207,160.0,16.551724137931036,160.0,372.0,88.0,18.32,0.9,360.0,184.0,176.0,35.0,157.0,970.0,26.0,0.5,0.5,16.0,1.2,47.0,3.6,1.1,2025.0
4533.0,Ullalu Lake,D,5.4,7.2,220.0,6.0,0.68,150.0,3500.0,33.93103448275862,68.0,16.96551724137931,68.0,12.0,64.0,14.64,0.4,108.0,60.0,48.0,7.0,13.0,148.0,70.0,0.405,0.5,7.0,0.705,19.0,0.54,0.9500000000000001,2025.0
4534.0,Sompura Lake,D,6.1,7.3,427.0,4.0,1.64,320.0,3500.0,34.758620689655174,96.0,17.379310344827587,96.0,48.0,44.0,10.96,0.4,152.0,82.0,70.0,16.0,69.0,286.0,18.0,0.31,0.5,5.0,0.21,49.0,2.45,0.8,2025.0
4535.0,Gubbalal Lake,D,5.8,6.5,225.0,5.0,0.86,310.0,5400.0,35.58620689655172,112.0,17.79310344827586,112.0,16.0,48.0,7.280000000000001,0.4,124.0,76.0,48.0,16.5,12.0,154.0,18.0,0.4766666666666667,0.5,8.0,0.235,17.0,0.48,0.42,2025.0
4536.0,Hosakerehalli Lake,E,2.6,6.5,413.0,19.0,1.6,170.0,2800.0,36.41379310344828,92.0,18.20689655172414,92.0,64.0,180.0,3.6,3.1,108.0,56.0,52.0,17.0,40.0,284.0,18.0,0.6433333333333333,0.5,8.0,0.26,42.0,1.68,1.165,2025.0
4537.0,Chinnakurchi Kere,D,5.4,6.9,280.0,5.0,0.79,390.0,4300.0,37.241379310344826,104.0,18.620689655172413,104.0,12.0,48.0,14.799999999999999,0.4,144.0,86.0,58.0,12.0,10.0,180.0,68.0,0.81,0.5,3.0,0.28,12.0,0.35,1.91,2025.0
4538.0,Machohalli Lake,E,2.0,6.9,1872.0,50.0,7.1,2400.0,17000.0,38.06896551724138,312.0,19.03448275862069,312.0,428.0,248.0,26.0,20.0,476.0,244.0,232.0,40.0,158.0,1266.0,12.0,0.6333333333333334,0.5,26.0,0.3,40.0,3.2,0.45,2025.0
4539.0,Doddabidarakallu Lake,D,5.0,6.5,486.0,6.0,1.55,320.0,3500.0,38.89655172413793,128.0,19.448275862068964,128.0,32.0,56.0,14.1,0.4,152.0,80.0,72.0,22.0,27.0,330.0,12.0,0.4566666666666667,0.5,2.0,0.27999999999999997,27.0,0.95,0.32,2025.0
4540.0,Kammagondanahalli Lake,E,2.7,6.7,380.0,19.0,1.41,3300.0,9400.0,39.724137931034484,96.0,19.862068965517242,96.0,40.0,140.0,2.2,1.8,96.0,52.0,44.0,12.0,23.0,258.0,14.0,0.28,0.5,2.0,0.26,33.0,0.97,0.82,2025.0
