LAKE_NAME,DATE,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count,NDCI_mean,NDTI_mean,NDWI_mean,TSS_PROXY_mean,DO_PROXY_mean,TDS_PROXY_mean,LST_celsius,AIR_TEMP_celsius,RAINFALL_mm_14d,NDVI_CATCHMENT
Muppatu,08/23,0.0494396957411139,0.0635762999773513,0.0449400636934574,0.0769705501387056,0.0540604381587779,0.0587566607765144,0.0500517635329618,0.0476023906173463,0.0485305860931261,0.0384286311586604,0.0012938691724825,0.001635028163708,0.0012875945150966,0.0019017490551438,0.002207464672776,0.003356948013953,0.0014613004402509,0.0033517998389785,0.0024117620359469,0.0018442425714539,24.0,0.2627537016827347,-0.171750004933009,0.1190431856432129,0.0560534435115628,1.3091511567440692,0.0485305860931261,30.135714285714343,,91.75214628988286,3.961129307574752e-05
Sankey,08/23,0.0342858141986706,0.0470926753901904,0.0340313087359957,0.0392935617490623,0.0289970312181002,0.0342675272227179,0.0314632827238336,0.0338593337731204,0.042319966259239,0.0337467668970027,0.0043687630432368,0.004731857107198,0.0048302591863006,0.0057160241942121,0.0058093282856845,0.0064434353260943,0.0056182330466077,0.0068454453515474,0.0079225770432913,0.0069269656508099,222.0,0.0712972319544427,-0.1630673464867808,0.20322608112808,0.0447063208108407,1.1270938732720623,0.042319966259239,29.000000000000057,,71.19446985834091,3.684785038933899e-05
Subramhanyapura,08/23,0.0895599991083145,0.1192999988794326,0.0841799989342689,0.1187800005078315,0.0876599982380867,0.0931799992918968,0.0784799993038177,0.081819999217987,0.0833799988031387,0.069539999961853,0.0026985933344062,0.0024413110655284,0.0033150566513383,0.0038973852571977,0.0103329764867069,0.015010582429875,0.0053022259843305,0.0109855171754045,0.0131504210114222,0.0132181089823563,5.0,0.1705425560474395,-0.1728443056344986,0.2072075188159942,0.1013399973511695,1.4648404661321872,0.0833799988031387,28.096000000000053,,55.67540797056812,2.9573695518516275e-05
Yediyur,08/23,0.0774777796533372,0.1247444434298409,0.0744555559423234,0.1282888882690006,0.0853111114766862,0.0894555557105276,0.0767333325412538,0.0729000001317924,0.0588555559515953,0.0465444446437888,0.0015540463161972,0.0025113561573369,0.0011196330094837,0.0023562890441811,0.0102151786456129,0.0100586173349124,0.0056344180987056,0.0125375882732875,0.0082123368324847,0.0034512839532572,9.0,0.2654582692517174,-0.2523817088868882,0.2389979627397325,0.0918000009324815,2.157287211518875,0.0588555559515953,30.750000000000057,,68.94416734292682,2.1498661178300176e-05
Amrutnagar,08/23,0.0895879998803138,0.1190200009942054,0.0883719998598098,0.1153079989552497,0.0831000000238418,0.0894440004229545,0.0843799999356269,0.0821520000696182,0.0772039997577667,0.059292000234127,0.0070944107238088,0.0057882651555287,0.0044077677413133,0.0047238896905806,0.0066007876646556,0.0077316522240912,0.0098857872489219,0.008168236126411,0.0098131537086888,0.0057722734380618,25.0,0.1324217355251312,-0.1477960729598999,0.1726860970258713,0.0981119990348815,1.555649011498619,0.0772039997577667,27.630000000000045,,55.67540797056812,2.8323377244582005e-05
Manganahalli,08/23,0.0607120401434675,0.0773193981112245,0.056591973157232,0.0640668896304125,0.0507745821415181,0.0565608696744194,0.0487745819507434,0.0549899665732248,0.0620745821018083,0.0510829432826975,0.0066239043577949,0.0089903602850114,0.0080089541215166,0.0103849715386269,0.0143770169621467,0.0166279766764128,0.0086263318331566,0.0195455823477841,0.0166004421115446,0.0173190425238105,299.0,0.0607990054109984,-0.1557783617522804,0.2288846710204679,0.0696969902061897,1.2845258270647886,0.0620745821018083,31.24707317073173,23.810711161295615,91.75214628988286,3.4946033750166975e-05
Avalahali,08/23,0.052269554870212,0.0629778219318825,0.0451399047069831,0.0761352942631667,0.0549356916383358,0.0551789349022014,0.0436591415433583,0.0422231320718181,0.037748807756932,0.0313817965627806,0.0149817584260745,0.0204434737184738,0.0140602796272694,0.0247788267079313,0.0187432850862756,0.0182727787511866,0.0146186287465755,0.0138328604307056,0.0059902931164372,0.0048200242775296,1258.0,0.2479405367779523,-0.1603496853552391,0.1790556294728064,0.050363314878462,1.650198386933697,0.037748807756932,29.138641025641075,23.884439086914085,49.04158623406485,2.7107178439117513e-05
Begur,08/23,0.1039166661600271,0.1110583326468865,0.0917083341628313,0.1201583327104647,0.0944583329061667,0.0979749988764524,0.089425000672539,0.0908083332081635,0.0862416668484608,0.0738416668027639,0.0043582929867818,0.0042892228915354,0.0034364364672308,0.0032177777558789,0.0057498498455172,0.0067900811745681,0.0037760478884181,0.0084378562495668,0.0075119306103979,0.0066897251431307,12.0,0.1344360777487357,-0.0954028827448685,0.107968237871925,0.0986500009894371,1.2916722953575392,0.0862416668484608,31.01583333333334,23.850747680664085,53.17163584968058,1.843856629395804e-05
Kannuru,08/23,0.0587035968846125,0.0716741012690736,0.0613244605257356,0.0775712232956354,0.055017266127703,0.0593532373686488,0.0547834533474428,0.053912230372,0.0567302161680279,0.046710791481699,0.0048154190089789,0.0056329365408361,0.0052184210033658,0.0063404971773773,0.0053857783183899,0.0057348776400714,0.005273069937376,0.0057236032384877,0.0040333977077534,0.0036806843208497,139.0,0.117030442511435,-0.0780868336236734,0.1342662864987798,0.0642021586783498,1.2623953573905282,0.0567302161680279,30.06200000000001,,43.71118345710124,2.535078443250817e-05
Kannuru,08/23,0.0587035968846125,0.0716741012690736,0.0613244605257356,0.0775712232956354,0.055017266127703,0.0593532373686488,0.0547834533474428,0.053912230372,0.0567302161680279,0.046710791481699,0.0048154190089789,0.0056329365408361,0.0052184210033658,0.0063404971773773,0.0053857783183899,0.0057348776400714,0.005273069937376,0.0057236032384877,0.0040333977077534,0.0036806843208497,139.0,0.117030442511435,-0.0780868336236734,0.1342662864987798,0.0642021586783498,1.2623953573905282,0.0567302161680279,30.06200000000001,,43.71118345710124,2.535078443250817e-05
