LAKE_NAME,DATE,IMAGE_COUNT,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B11_mean,B12_mean,B2_stdDev,B3_stdDev,B4_stdDev,B5_stdDev,B6_stdDev,B7_stdDev,B8_stdDev,B8A_stdDev,B11_stdDev,B12_stdDev,B2_count
Agara kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Ibbalur Govt. Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
sarraki kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Puttenahalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Madivala Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Somasundrapalya lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
singasandra,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kodagi Singasandra kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
doddakodlu,07/23,0,,,,,,,,,,,,,,,,,,,,,
Karabu Kere/Konappana agrahara lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Parapana Agahara Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kudlu Chikere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kelaginakere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Melinakere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Basavanapura Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Swarna Kunte Gudde Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Chikkabegur kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Elenahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kalena Agrahara Govt. Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Infrastructure Corridor,07/23,0,,,,,,,,,,,,,,,,,,,,,
Beratena Agrahara Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Mylasandra Dodda Agrahara kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Arekere Govt. lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Hulimavu Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Akashaya nagar Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Gottigere Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kothanaru Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
RBI layout kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Chunchanaghatta Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Alahalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kembathahali kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Doddakallasandra  kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Konanakunte  kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Thalagattapura lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Vajarahalli Govt.Katte,07/23,0,,,,,,,,,,,,,,,,,,,,,
Harohalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Puttenahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Chellakere kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Horamavu Agara,07/23,0,,,,,,,,,,,,,,,,,,,,,
Horamavu kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kalkere Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Nagareshvara Nagenahalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Rampura Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Atturu kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Veerasagara kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Dodda bettahalli,07/23,0,,,,,,,,,,,,,,,,,,,,,
Dasarahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Doddabidarakallu lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Allasandra Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Andhrahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Handrahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Narasappanahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Valagere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Shivapura New tank,07/23,0,,,,,,,,,,,,,,,,,,,,,
Agrahara Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Chokkanahalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Jakkuru lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
palanahalli,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kattigenahalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kogilu kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Venkateshapura lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Bellihalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
B. Channasandra lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Byappanahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kowdenahalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Krishnarajapuram kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Basavanapura kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Shegehalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Mangamanapalya Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Hoodi kere-2,07/23,0,,,,,,,,,,,,,,,,,,,,,
Jimkenahalli Kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kodigehalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Gangashetti kere/ Devasandra kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Vijinapura kere2,07/23,0,,,,,,,,,,,,,,,,,,,,,
B.Narayanapura kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Melinakere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kelaginakere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Rachenahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Amruthahalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Nagawara Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Herohalli Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Hebbal  kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Mahadevapura kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Vibhutipura kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Rajapalya Hoodikere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Achanakere,07/23,0,,,,,,,,,,,,,,,,,,,,,
"Yekkalagatta kere,Mahadevepura Kere",07/23,0,,,,,,,,,,,,,,,,,,,,,
Pattaduru Agrahara kere-2,07/23,0,,,,,,,,,,,,,,,,,,,,,
Nallurahallikere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Thubarahalli lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Sheelavantana kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Doddanekundi Kunte,07/23,0,,,,,,,,,,,,,,,,,,,,,
Chinnappanahalli  kere1,07/23,0,,,,,,,,,,,,,,,,,,,,,
Doddanekundi kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Kundalahalli kere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Acchanakere,07/23,0,,,,,,,,,,,,,,,,,,,,,
Varthur lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Narasipura Lake-1,07/23,0,,,,,,,,,,,,,,,,,,,,,
Narasipura Lake-2,07/23,0,,,,,,,,,,,,,,,,,,,,,
Ulsoor Lake,07/23,0,,,,,,,,,,,,,,,,,,,,,
Gunduru Lake,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Doddebele,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Somapura,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Mailasandra,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Kengeri 1,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Kengeri 2,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Chenvinayanahalli,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Annamma kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Deevatigeramnahalli kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Devarakere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Doraikere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Goudanakere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
Gubbalal kere,08/23,1,,,,,,,,,,,,,,,,,,,,,0
