LAKE_NAME,DATE,NDCI_Chla,NDTI,NDWI,NDSSI,IMAGE_COUNT
Herohalli Thotadakere,03/24,0.09231818432,0.1078786021,-0.3384302997,-0.4389693155,9
Hosakerehalli Kere,03/24,0.2347553952,-0.003927313311,-0.5388702302,-0.6617015963,9
Kempambudhi lake,03/24,0.3617517801,-0.1998229089,-0.226984036,-0.4320928637,9
Laggeri Lake,03/24,0.2643152348,-0.06545985227,-0.5794340889,-0.6899251804,9
Mallathahalli Lake,03/24,0.08759613905,0.148866517,-0.3055002691,-0.4546253982,9
Moge kere,03/24,0.23236568,-0.03936553272,-0.4089039536,-0.5464464521,9
Muppatu Kavalu Hosa Kere,03/24,0.07799570349,0.1220817262,-0.2832802805,-0.4365099476,9
Nayandanahalli kere,03/24,0.1372406689,-0.0988719949,0.05670131715,-0.03666051653,9
Sankey Tank,03/24,0.0877864932,-0.1491994632,0.2496154909,0.1380614303,9
Subramhanyapura kere,03/24,0.237229723,-0.1251154685,0.04234857082,-0.1630355872,9
Ullalu lake-2,03/24,0.1160785582,0.1457899338,-0.4140437057,-0.5384904447,9
Valagerehalli kere,03/24,0.06551449839,0.1231217703,-0.2610453271,-0.3985918662,9
Yediyur kere,03/24,0.3743907257,-0.2426109766,-0.01816380636,-0.2961559519,9
Bhimmanakuppe Govt lake,03/24,0.1616449735,0.03854963075,-0.3431484972,-0.4920582003,9
Srigandhakavalu Karabu Katte,03/24,0.08086286905,0.1307467623,-0.2919849637,-0.4194808523,9
Janaradhan kere,03/24,0.1919216521,0.02835513247,-0.5129680841,-0.6156333079,9
Konashetty kere,03/24,0.08364354997,0.1536622725,-0.3166728776,-0.4633017618,9
Nagarabhavi (Un-named Lake on map),03/24,0.09247184498,0.1523378519,-0.3654881518,-0.5072966438,9
Sompura Govt.lake,03/24,0.1262961842,0.05284279663,-0.287066693,-0.4129501268,9
Lakshmipura Lake,03/24,0.2017148083,-0.09558098996,-0.004508040777,-0.1776272352,9
Amrutnagar Lake,03/24,0.1588971524,-0.093602438,0.06945707699,-0.1182366248,9
Hoysalanagara Lake,03/24,0.1480569038,-0.005736500032,-0.1292399943,-0.3353897068,9
Basavanagar Lake,03/24,0.128527186,0.04018417116,-0.2727986575,-0.4156514399,9
Ajjegowdana katte,03/24,0.1086149762,0.09800888765,-0.3837030436,-0.5068112466,9
Kodigehalli kere,03/24,0.1631390847,-0.02987152694,-0.09724934246,-0.2220670943,9
Kommaghatta Govt. Lake,03/24,0.3303345306,-0.2623276185,9.11E-04,-0.1653372978,9
Manganahalli Lake,03/24,0.0601577133,-0.1740746387,0.3002646176,0.2252959588,9
Bhattarahalli kere,03/24,0.1092533435,-0.1966355693,0.3213673328,0.08064429066,9
Thirumenahalli lake,03/24,0.2049710245,-0.03712114491,-0.3112468594,-0.4562445822,9
Avalahali kere,03/24,0.3507069087,-0.2238553428,-0.2766453456,-0.3701071712,9
Begur Lake,03/24,0.2527758938,-0.08919009077,-0.1494981847,-0.3214549513,9
meenakshi lake,03/24,0.2694823085,-0.1770739854,0.1156402776,-0.1631100093,9
Kannuru kere,03/24,0.226122029,-0.1510227883,0.2159398642,-0.06184720316,9
Kannuru kere,03/24,0.226122029,-0.1510227883,0.2159398642,-0.06184720316,9
Doddagubbi kere,03/24,0.1274089503,-0.01014969887,-0.08065126765,-0.2371879667,9
Suggata kere,03/24,0.1413399343,0.02553132405,-0.2034884743,-0.3531938442,9
Yelahanka Lake,03/24,0.1581883919,-0.134048713,0.1753821614,0.05889246005,9
Dodda Bommasandra Lake,03/24,0.3165982068,-0.1460181589,-0.1130481394,-0.3102021562,9
Singapura lake,03/24,0.2135373447,0.0106382686,-0.5126847694,-0.6506924296,9
Chellaghatta kere,03/24,0.2743205599,-0.08724535783,-0.5358771308,-0.6642303604,9
Bellandur Amanikere,03/24,0.1833078299,0.007973180906,-0.3542641673,-0.5028072132,9
Abbigere Kere,03/24,0.1424915455,0.09328998909,-0.4209354158,-0.5541580657,9
Kammagondanahalli lake,03/24,0.1079512226,0.1337777069,-0.3865910446,-0.5058477125,9
Mallasandra Lake-2,03/24,0.3237631897,-0.1023071679,-0.6292993774,-0.7360941939,9
Chikkabanavara kere,03/24,0.3534769084,-0.2506192392,-0.3481981845,-0.4718320995,9
Mallasandra Gudde lake,03/24,0.15175044,0.1119358513,-0.502637278,-0.6001569656,9
Bagalagunte Govt.Lake,03/24,0.109899793,0.1268124079,-0.396900805,-0.5155139572,9
Lalbagh kere,03/24,0.3211623907,-0.2274133849,0.06866772653,-0.1585979492,9
Chikkabellanduru kere,03/24,0.1788866088,-0.02082151377,-0.2498069039,-0.3774080262,9
Carmelarm,03/24,0.07372177172,0.1433070768,-0.2883160366,-0.4527367438,9
Gunjuruplaya kere,03/24,0.1018440998,0.1168980773,-0.3359763324,-0.4878842405,9
Govt. Dinnekere,03/24,0.07744400142,0.1150257965,-0.2187733754,-0.3998558016,9
Panattur Govt.kere,03/24,0.05759261608,-0.08703123327,0.1651708963,-4.33E-04,9
Gramadakere,03/24,0.1035363462,0.1546846108,-0.3772247323,-0.523962201,9
Ambalipura Kelagina kere,03/24,0.2418510481,-0.08699812151,-0.3693004242,-0.4891760185,9
Melinakere,03/24,0.1645713368,0.0227812089,-0.3064427808,-0.4312181048,9
Sowl kere,03/24,0.2877594023,-0.1446412022,-0.2966851777,-0.4592923904,9
Bhoganahalli kere,03/24,0.147441521,-0.07271546944,0.01074037708,-0.06560047269,9
Devarabisanahalli kere,03/24,0.106091889,-0.1429311326,0.2057617027,0.02234995355,9
Doddakanneli Gramadakere,03/24,0.2772496928,-0.2158497675,0.1252979379,-0.1108659967,9
Lakedew Appartment lake,03/24,0.3310245991,-0.2560200333,0.1313849484,-0.1512740514,9
Kaikondanahalli kere,03/24,0.3053811582,-0.1707403642,-0.1134511039,-0.2562973068,9
Kasavanahalli kere,03/24,0.05534426648,-0.2087773829,0.3921627497,0.2460796021,9
Mestripalya lake,03/24,0.1375334017,0.09901157879,-0.4093898806,-0.5310168127,9
Tavarekere lake,03/24,0.1637918719,0.06892411906,-0.4334986846,-0.5537535337,9
Byrasandra Kere,03/24,0.1684106333,-0.003563539182,-0.221601536,-0.3786720843,9
J P Park Kere,03/24,0.1645742462,0.06343948299,-0.4300168479,-0.5573271801,9
Agara kere,03/24,0.2102169646,-0.149872379,0.09143452032,-0.01954409894,9
Ibbalur Govt. Lake,03/24,0.1330406227,-0.1097108127,0.02497968765,-0.1067978803,9
sarraki kere,03/24,0.08933527764,-0.1900911869,0.3707205616,0.2046450135,9
Puttenahalli Kere,03/24,0.2757222047,-0.1724266419,-0.03004835688,-0.2407488825,9
Madivala Kere,03/24,0.2467916306,-0.0910386067,0.03476234794,-0.118066634,9
Somasundrapalya lake,03/24,0.2018079798,-0.1405019626,0.1602915583,-0.08779277248,9
singasandra,03/24,0.2282951197,-0.142565212,-0.07617689695,-0.2528255869,9
Kodagi Singasandra kere,03/24,0.1101479531,0.06322599405,-0.257555695,-0.4127096486,9
doddakodlu,03/24,0.3450849437,-0.2483927779,0.1372450397,-0.1639113028,9
Karabu Kere/Konappana agrahara lake,03/24,0.1950417161,-0.03921914118,-0.1593689898,-0.2567540521,9
Parapana Agahara Lake,03/24,0.215965802,-0.1712599784,0.07428986245,-0.1104799752,9
Kudlu Chikere,03/24,0.1521532738,0.03331721035,-0.3742950625,-0.4887650876,9
Kelaginakere,03/24,0.03913417371,-0.02773197241,0.1186774529,-0.04384189781,9
Melinakere,03/24,0.2421184734,-0.08245541491,-0.2554267436,-0.3824110055,9
Basavanapura Kere,03/24,0.104269032,0.05204225139,-0.2257877819,-0.356004366,9
Swarna Kunte Gudde Lake,03/24,0.09694335297,0.05729869844,-0.2681578095,-0.4021483843,9
Chikkabegur kere,03/24,0.2991971685,-0.1020622822,-0.648072742,-0.7421440417,9
Elenahalli Lake,03/24,0.08947329527,-0.001624060076,-0.05284660185,-0.180016143,9
Kalena Agrahara Govt. Lake,03/24,0.1480179233,-0.1039398221,0.1036810334,-0.1047563377,9
Infrastructure Corridor,03/24,0.3740111108,-0.1794243754,-0.3594001436,-0.5281973629,9
Beratena Agrahara Lake,03/24,0.0666006656,0.1338080493,-0.2562416206,-0.4232679478,9
Mylasandra Dodda Agrahara kere,03/24,0.2165504893,-0.07260986578,-0.09651624195,-0.2116740634,9
Arekere Govt. lake,03/24,0.3946384058,-0.2169881747,-0.1215045542,-0.3903974718,9
Hulimavu Kere,03/24,0.1923430236,0.02423319631,-0.4617298905,-0.5868225089,9
Akashaya nagar Kere,03/24,0.2967622604,-0.1174683771,-0.3292073632,-0.519274023,9
Gottigere Kere,03/24,0.22660104,-0.1586326324,0.07112637871,-0.0417693194,9
Kothanaru Kere,03/24,0.1132246699,-0.1058382998,0.1112285348,-0.05421724369,9
RBI layout kere,03/24,0.1555067017,-0.03263932774,-0.2097492398,-0.3723901365,9
Chunchanaghatta Kere,03/24,0.131204248,0.06353915343,-0.3140768078,-0.480113666,9
Alahalli Kere,03/24,0.1636450149,-0.1084840603,0.08492317798,-0.1258123385,9
Kembathahali kere,03/24,0.09540914119,0.04704555191,-0.1937090571,-0.3629763685,9
Doddakallasandra  kere,03/24,0.09642748526,0.09109181973,-0.2986947586,-0.4588613937,9
Konanakunte  kere,03/24,0.1298738516,0.09765472812,-0.3941118944,-0.5201387395,9
Thalagattapura lake,03/24,0.1099332502,0.1071506974,-0.3109428742,-0.4367362961,9
Vajarahalli Govt.Katte,03/24,0.1351374528,0.06020893212,-0.3869631349,-0.5103363075,9
Harohalli kere,03/24,0.1737458399,-0.02238535392,-0.18521617,-0.3338479277,9
Puttenahalli Lake,03/24,0.2321315116,-0.03230779339,-0.3714855322,-0.5016194264,9
Chellakere kere,03/24,0.2440990403,-0.05201844668,-0.3391214248,-0.4709678221,9
Horamavu Agara,03/24,0.3464368954,-0.2249191898,0.1566702452,-0.1307938427,9
Horamavu kere,03/24,0.07733881523,0.09902414163,-0.2393704748,-0.3971179246,9
Kalkere Kere,03/24,0.433477906,-0.1878100561,-0.4228803713,-0.5685341631,9
Nagareshvara Nagenahalli Kere,03/24,0.1440140675,-0.01824883426,0.04218485903,-0.1647759915,9
Rampura Kere,03/24,0.1096259937,0.1432995377,-0.3998997227,-0.5417127379,9
Atturu kere,03/24,0.2682778527,-0.1278789242,-0.326904714,-0.4491235033,9
Veerasagara kere,03/24,0.2972935652,-0.1540220029,-0.02626778691,-0.2217090624,9
Dodda bettahalli,03/24,0.04492170094,0.01623745814,-0.08671578222,-0.1631982446,9
Dasarahalli kere,03/24,0.1997212336,-0.06353264118,-0.1651897842,-0.2930977929,9
Doddabidarakallu lake,03/24,0.1050325275,0.1674870438,-0.4063478049,-0.5382642465,9
Allasandra Lake,03/24,0.273093533,-0.1789664385,0.09802622157,-0.1727203429,9
Andhrahalli Lake,03/24,0.1138874737,0.04821461611,-0.2524926007,-0.367436767,9
Handrahalli kere,03/24,0.1138373956,0.1412398268,-0.4282224242,-0.5413452357,9
Narasappanahalli kere,03/24,0.3477082125,-0.1485325709,-0.667862234,-0.7695543145,9
Valagere,03/24,0.06406074017,0.1267830661,-0.2463477681,-0.380398563,9
Shivapura New tank,03/24,0.08631848114,0.1555124705,-0.3532886113,-0.4788443012,9
Agrahara Lake,03/24,0.233235057,-0.1420197877,0.02241454918,-0.1070529049,9
Chokkanahalli lake,03/24,0.1574371198,-0.0388074977,-0.07648492301,-0.1626606756,9
Jakkuru lake,03/24,0.3889801946,-0.1719108663,-0.1760157807,-0.318117625,9
palanahalli,03/24,0.2660222527,-0.1022688458,-0.2991047545,-0.4114308985,9
Kattigenahalli lake,03/24,0.360380015,-0.1382524952,-0.2155901773,-0.3424586274,9
Kogilu kere,03/24,0.2225700567,-0.08623169094,-0.2257770028,-0.3091430623,9
Venkateshapura lake,03/24,0.1723105518,0.02718722706,-0.2002785946,-0.3791744586,9
Bellihalli kere,03/24,0.1904586098,-0.02213968261,-0.3327557491,-0.4143856953,9
B. Channasandra lake,03/24,0.1821504941,-0.1169407993,-0.08131663353,-0.2256038087,9
Byappanahalli kere,03/24,0.212839985,0.006659031373,-0.4794589052,-0.6072190878,9
Kowdenahalli Kere,03/24,0.1005852052,0.09486288868,-0.342161033,-0.482625387,9
Krishnarajapuram kere,03/24,0.3502898223,-0.145554638,-0.6591274888,-0.7734616648,9
Basavanapura kere,03/24,0.1879199138,-0.1486758174,0.07367836984,-0.1258553689,9
Shegehalli kere,03/24,0.4078841062,-0.1763772506,-0.1855896483,-0.4224167911,9
Mangamanapalya Kere,03/24,0.1807733941,-0.090499316,-0.07010575791,-0.1835767662,9
Hoodi kere-2,03/24,0.106005205,0.07564251011,-0.2669187039,-0.4116674688,9
Jimkenahalli Kere,03/24,0.1199189943,-0.01916741945,0.0355668499,-0.1735572275,9
Kodigehalli lake,03/24,0.09857093392,-0.183753173,0.3347417658,0.1671415595,9
Gangashetti kere/ Devasandra kere,03/24,0.1525666022,-0.02125189012,-0.1821575118,-0.3574818693,9
Vijinapura kere2,03/24,0.2286871286,-0.1254499787,-0.2269013319,-0.3350981514,9
B.Narayanapura kere,03/24,0.08135636226,0.09105602328,-0.2804666191,-0.3992256729,9
Melinakere,03/24,0.3691036027,-0.2076763777,-0.54865462,-0.6622810279,9
Kelaginakere,03/24,0.2436662634,-0.2008670892,0.05503366166,-0.1448134777,9
Rachenahalli kere,03/24,0.4440844738,-0.2467067808,-0.1135831995,-0.290461007,9
Amruthahalli Lake,03/24,0.1317509434,0.1068820372,-0.4024109078,-0.5424047875,9
Nagawara Lake,03/24,0.3346427678,-0.1710821651,-0.17674735,-0.3160830123,9
Herohalli Lake,03/24,0.3053601046,-0.1839315143,-0.1279661798,-0.33022065,9
Hebbal  kere,03/24,0.2334191375,-0.1600103331,0.03350311187,-0.1042931983,9
Mahadevapura kere,03/24,0.2279767925,-0.228468373,0.1792909287,-0.07617764721,9
Vibhutipura kere,03/24,0.1319170884,0.0504063601,-0.2816827343,-0.4372788702,9
Rajapalya Hoodikere,03/24,0.2368871664,-0.04499978168,-0.5196604158,-0.6382760199,9
Achanakere,03/24,0.2236162203,-0.1523429524,-0.02839967483,-0.2762337915,9
"Yekkalagatta kere,Mahadevepura Kere",03/24,0.1630832966,-0.07131367596,0.03691608938,-0.1729149134,9
Pattaduru Agrahara kere-2,03/24,0.2743483571,-0.1336235092,-0.4740039379,-0.6056191172,9
Nallurahallikere,03/24,0.09370924558,0.09705832712,-0.2375833293,-0.4057366397,9
Thubarahalli lake,03/24,0.1543363428,-0.1155157821,0.1444787289,-0.08264323465,9
Sheelavantana kere,03/24,0.4052326858,-0.2290909719,-0.1331281773,-0.4239291077,9
Doddanekundi Kunte,03/24,0.3609609687,-0.1729452332,-0.2329593015,-0.389304928,9
Chinnappanahalli  kere1,03/24,0.2882125032,-0.1780608397,-0.05527531143,-0.2836241702,9
Doddanekundi kere,03/24,0.2414962505,-0.02717580599,-0.4566692305,-0.5916834447,9
Kundalahalli kere,03/24,0.4194143923,-0.2845341816,0.0108975921,-0.254478243,9
Acchanakere,03/24,0.3700443589,-0.253457516,-0.04538801967,-0.3345370814,9
Varthur lake,03/24,0.2993224172,-0.06767999524,-0.5767090116,-0.7026705766,9
Narasipura Lake-1,03/24,0.2217920279,-0.06037743864,-0.3111962472,-0.4670214384,9
Narasipura Lake-2,03/24,0.3364935174,-0.1222403992,-0.6295530377,-0.7434309822,9
Ulsoor Lake,03/24,0.3572007272,-0.2708828052,0.1189237707,-0.1539404838,9
Gunduru Lake,04/24,0.1475104802,0.05287807216,-0.2939370293,-0.4725055326,7
Doddebele,04/24,0.4060596459,-0.262642683,0.01237827704,-0.2578471432,7
Somapura,04/24,0.1719301283,-0.004383046609,-0.3166111043,-0.4566410568,7
Mailasandra,04/24,0.1648649882,-5.90E-04,-0.2281850275,-0.4305869927,7
Kengeri 1,04/24,0.1322628112,0.1111126461,-0.412080897,-0.550553063,7
Kengeri 2,04/24,0.4555136177,-0.2240171196,-0.4148495981,-0.7020365579,7
Chenvinayanahalli,04/24,0.2165478936,-0.1204894032,-0.02956410712,-0.3133321992,7
Annamma kere,04/24,0.2847309194,-0.1690556768,-0.0633464204,-0.4014812398,7
Deevatigeramnahalli kere,04/24,0.1244981197,0.09328979376,-0.4130844051,-0.5284963744,7
Devarakere,04/24,0.423218035,-0.226708076,-0.1768267309,-0.6282046372,7
Doraikere,04/24,0.3798067025,-0.1652810574,-0.3995949685,-0.5773635149,7
Goudanakere,04/24,0.07517043383,0.160897841,-0.3209853558,-0.4834837773,7
Gubbalal kere,04/24,0.1069538585,0.150414879,-0.382350777,-0.5314009199,7
Halagevaderahalli kere-2,04/24,0.109890361,0.1468528218,-0.3867338636,-0.545032492,7
Herohalli Thotadakere,04/24,0.08840099527,0.1173408186,-0.3324986933,-0.4284071802,7
Hosakerehalli Kere,04/24,0.2173975065,0.05906725398,-0.5380057093,-0.6870477623,7
Kempambudhi lake,04/24,0.4019218364,-0.2308484265,-0.2733968007,-0.5438249505,7
Laggeri Lake,04/24,0.2517007104,-0.04782313869,-0.5626746833,-0.6795619126,7
